SR Number,Owner Country,Next Owner Country
1-503573772,Belgium,Netherlands
1-504538555,Belgium,Netherlands
1-506071646,POLAND,Netherlands
1-516553982,POLAND,Netherlands
1-522528740,Belgium,Netherlands
1-529067006,POLAND,Netherlands
1-529096847,POLAND,Netherlands
1-530458987,POLAND,Netherlands
1-530772502,POLAND,Netherlands
1-530838254,Belgium,Netherlands
1-530838254,Netherlands,Spain
1-532109338,Belgium,Netherlands
1-536444735,POLAND,Netherlands
1-536481337,POLAND,Netherlands
1-540390551,Belgium,Netherlands
1-541468268,Belgium,Netherlands
1-543317665,POLAND,Netherlands
1-544969832,POLAND,Netherlands
1-544976636,Belgium,Netherlands
1-550213097,Belgium,Netherlands
1-557297151,Belgium,Netherlands
1-559795575,Sweden,Brazil
1-559795575,Brazil,USA
1-559795575,USA,INDIA
1-565045794,POLAND,USA
1-565045794,USA,INDIA
1-565045794,INDIA,Sweden
1-567358917,POLAND,Netherlands
1-577292898,Belgium,Netherlands
1-578864726,Brazil,Sweden
1-580893958,Belgium,United Kingdom
1-580893958,United Kingdom,Netherlands
1-580987781,Sweden,Brazil
1-587101946,Belgium,United Kingdom
1-587101946,United Kingdom,Sweden
1-594260021,POLAND,Netherlands
1-597436480,Sweden,POLAND
1-603556351,France,Sweden
1-603749197,Sweden,Brazil
1-603749197,Brazil,United Kingdom
1-604144478,POLAND,Netherlands
1-605313141,Sweden,Brazil
1-605956457,POLAND,Sweden
1-605956457,Sweden,INDIA
1-606902814,China,USA
1-609835209,POLAND,Netherlands
1-611261188,POLAND,Netherlands
1-614948909,POLAND,Netherlands
1-617858557,Belgium,INDIA
1-617858557,INDIA,Germany
1-618854217,POLAND,Sweden
1-618854217,Sweden,INDIA
1-619069761,Belgium,POLAND
1-619069761,POLAND,Germany
1-620611187,Sweden,Denmark
1-620858291,POLAND,Netherlands
1-621825480,POLAND,Netherlands
1-623778166,Belgium,France
1-627819166,China,Belgium
1-627819166,Belgium,Netherlands
1-627973205,Belgium,POLAND
1-627973205,POLAND,Germany
1-627973205,Germany,Brazil
1-627973205,Brazil,Sweden
1-629364071,China,USA
1-629883996,Belgium,Netherlands
1-630181491,Sweden,Brazil
1-634738521,THAILAND,INDIA
1-634738521,INDIA,POLAND
1-635268712,POLAND,Netherlands
1-635375181,Sweden,Netherlands
1-636928149,POLAND,Netherlands
1-637842042,Belgium,Netherlands
1-638018481,Sweden,Brazil
1-638742591,Belgium,Netherlands
1-638945511,Sweden,POLAND
1-642373523,POLAND,Netherlands
1-642373523,Netherlands,United Kingdom
1-642714990,Belgium,Netherlands
1-642761396,Belgium,Netherlands
1-643546500,Belgium,Netherlands
1-643733486,Belgium,Netherlands
1-643733486,Netherlands,Spain
1-644761840,Belgium,Netherlands
1-647788578,Belgium,Netherlands
1-647953636,Belgium,Netherlands
1-648471635,China,Netherlands
1-649830550,INDIA,Brazil
1-649830550,Sweden,USA
1-649950870,Belgium,Netherlands
1-650013051,Germany,POLAND
1-650013051,POLAND,Korea
1-651196130,Belgium,Sweden
1-651324866,Brazil,Sweden
1-652256138,Belgium,France
1-654423931,Sweden,USA
1-654423931,USA,Korea
1-655281402,Sweden,USA
1-655281402,USA,INDIA
1-656373348,POLAND,Sweden
1-656450664,Belgium,Netherlands
1-657323705,POLAND,United Kingdom
1-657900377,Sweden,POLAND
1-657900377,POLAND,Brazil
1-658345511,USA,Brazil
1-658345511,Brazil,Sweden
1-658515933,INDIA,Sweden
1-659713703,Belgium,Brazil
1-659713703,Brazil,Sweden
1-659713703,Sweden,INDIA
1-659713703,INDIA,Germany
1-660218981,Canada,Brazil
1-660218981,Brazil,USA
1-660218981,USA,INDIA
1-660730501,Belgium,Netherlands
1-660865454,Sweden,Brazil
1-660915327,Belgium,POLAND
1-660915327,POLAND,Brazil
1-660915327,Sweden,INDIA
1-665922195,Sweden,Brazil
1-673825643,INDIA,MALAYSIA
1-673825643,MALAYSIA,Sweden
1-683762637,Belgium,POLAND
1-685098751,Sweden,France
1-686885675,POLAND,Sweden
1-687082195,POLAND,Brazil
1-687082195,Brazil,United Kingdom
