"1-706221211;""49"";""3"";""4"";""Low"";""PROD609"";""1-2-3-4"";""2012-04-03"";""2012-05-22"""
"1-706983808;""38"";""7"";""7"";""Low"";""PROD16"";""1-2-3-4-2-5-6-7"";""2012-04-02"";""2012-05-10"""
"1-706996552;""38"";""12"";""8"";""Low"";""PROD455"";""1-2-3-4-3-5-3-6-7-3-6-8-3"";""2012-04-02"";""2012-05-10"""
"1-707167142;""38"";""4"";""4"";""Low"";""PROD455"";""1-2-3-4-3"";""2012-04-02"";""2012-05-10"""
"1-707231563;""38"";""5"";""5"";""Low"";""PROD494"";""1-2-3-4-5-3"";""2012-04-02"";""2012-05-10"""
"1-707807221;""39"";""6"";""5"";""Low"";""PROD279"";""1-2-3-2-4-2-5"";""2012-04-03"";""2012-05-12"""
"1-707933295;""31"";""1"";""2"";""Low"";""PROD16"";""1-2"";""2012-04-03"";""2012-05-04"""
"1-707939234;""49"";""11"";""11"";""Low"";""PROD424"";""1-2-3-4-5-3-6-7-8-9-10-11"";""2012-04-03"";""2012-05-22"""
"1-707991342;""36"";""11"";""7"";""Low"";""PROD494"";""1-2-3-4-5-2-3-4-6-7-6-4"";""2012-04-03"";""2012-05-09"""
"1-708029447;""50"";""11"";""9"";""Low"";""PROD672"";""1-2-3-4-3-5-3-6-7-8-9-4"";""2012-04-03"";""2012-05-23"""
"1-708059841;""38"";""1"";""2"";""Low"";""PROD67"";""1-2"";""2012-04-03"";""2012-05-11"""
"1-708177338;""41"";""5"";""6"";""Low"";""PROD325"";""1-2-3-4-5-6"";""2012-04-04"";""2012-05-15"""
"1-708505881;""36"";""8"";""5"";""Low"";""PROD790"";""1-2-1-3-4-1-5-4-1"";""2012-04-04"";""2012-05-10"""
"1-708524564;""36"";""13"";""10"";""Low"";""PROD424"";""1-2-3-4-5-6-7-5-3-5-8-9-10-3"";""2012-04-04"";""2012-05-10"""
"1-708625573;""41"";""6"";""5"";""Low"";""PROD455"";""1-2-3-4-3-5-3"";""2012-04-04"";""2012-05-15"""
"1-708654452;""35"";""8"";""9"";""Low"";""PROD424"";""1-2-3-4-5-6-7-8-9"";""2012-04-04"";""2012-05-09"""
"1-708674093;""41"";""2"";""3"";""Low"";""PROD607"";""1-2-3"";""2012-04-04"";""2012-05-15"""
